diet_category,description,age_group,sex,total_impact_score,n_participants,mean_ghgs,mean_land,mean_watscar,mean_eut,mean_ghgs_norm,mean_land_norm,mean_watscar_norm,mean_eut_norm
pescatarian,"Includes fish, theoretically no meat ",70-79,female,0.143,195000,4.990762890714,6.874727609523,18969.983047527,21.031888714150003,0.26390111615410117,0.12464699337837322,0.5012938124386545,0.26403237896905535
pescatarian,"Includes fish, theoretically no meat ",70-79,male,0.158,68000,5.303953641929,7.391856969142,19804.958474144,22.634509940759997,0.29559811123559326,0.1474637623358334,0.5781859746592193,0.30478181246104663
plant_based,No animal products ,20-29,female,0.037,487000,2.383216383473,4.049672932221,13526.411130525,10.647845089806,0.0,0.0,0.0,0.0
plant_based,No animal products ,20-29,male,0.06,198000,2.84322830886,4.845974177056,15880.592028433,12.836418062532001,0.046556278178246265,0.03513438404913676,0.21679447529601226,0.05564827628242257
plant_based,No animal products ,30-39,female,0.043,376000,2.540393020847,4.26257299745,13977.927843938001,11.121255576369,0.015907325112385177,0.009393571471047874,0.04157978219037302,0.012037285427335013
plant_based,No animal products ,30-39,male,0.05,251000,2.698172418304,4.49025876692,15193.40325858,11.620285808197,0.03187565356957555,0.01943951742299697,0.15351185800777384,0.024725997460297966
plant_based,No animal products ,40-49,female,0.05,219000,2.657602421868,4.5256259728309995,15304.059745505,11.714302841621,0.02776969905942699,0.020999988417211513,0.16370211783118985,0.02711654413908469
plant_based,No animal products ,40-49,male,0.05,165000,2.694366019617,4.553663880856,14841.207695543,11.630236431426999,0.03149042060853831,0.022237076309355716,0.12107847433787806,0.02497900937152319
plant_based,No animal products ,50-59,female,0.044,106000,2.520496825096,4.427549281558999,15130.223558038,10.83069242073,0.013893697262861228,0.01667265104361103,0.14769369422922413,0.004649211570993924
plant_based,No animal products ,50-59,male,0.044,62000,2.524737409503,4.4137992808019995,14370.528918144,11.197674368305,0.014322872717659559,0.016065973846500218,0.07773407430903523,0.013980366192664323
plant_based,No animal products ,60-69,female,0.05,81000,2.633644804226,4.742450322123,15675.19873058,11.333483697698,0.025345028197925595,0.030566707053709223,0.19787998479236063,0.017433554721433733
plant_based,No animal products ,60-69,male,0.045,52000,2.427010725764,4.5595759987880005,17095.889355713,10.762747965166,0.004432279838436456,0.0224979306321563,0.32871015120283875,0.002921605554560861
plant_based,No animal products ,70-79,female,0.059,25000,2.839875594178,4.7578076945809995,16572.485297502,12.405906739564,0.04621696106759489,0.03124430466569938,0.28051032583322033,0.04470177674057981
plant_based,No animal products ,70-79,male,0.049,19000,2.587986805198,4.49938951313,16181.930817624001,11.433533300773998,0.020724133854759675,0.01984238398396008,0.2445445028096378,0.019977489981214035
vegetarian,"Includes dairy and eggs, no meat ",20-29,female,0.108,3752000,4.319955997758,6.207026791511,15116.316008132,17.35317257718,0.1960109798580234,0.09518671421628634,0.14641296003109872,0.17049461965928517
vegetarian,"Includes dairy and eggs, no meat ",20-29,male,0.132,646000,4.899777121339,6.903258500653,16770.457919306,19.493234797640003,0.2546927488151009,0.12590583265901914,0.2987414527211812,0.22490942564923488
vegetarian,"Includes dairy and eggs, no meat ",30-39,female,0.11,3634000,4.367724164195001,6.265816777324,15473.426301767999,17.39704401576,0.2008454372317857,0.09778064453247623,0.1792989369755292,0.17161012732817782
vegetarian,"Includes dairy and eggs, no meat ",30-39,male,0.128,1221000,4.807758162692999,6.787162913364,16603.476202238,18.988079857339997,0.24537981582365376,0.12078346599605227,0.28336425134810317,0.21206498224544404
vegetarian,"Includes dairy and eggs, no meat ",40-49,female,0.111,2696000,4.386548303825,6.317881972941,15792.643373122999,17.35567046528,0.2027505658441431,0.10007786382010919,0.20869535997404828,0.17055813281093402
vegetarian,"Includes dairy and eggs, no meat ",40-49,male,0.121,961000,4.610379492209,6.6104741896879995,16477.661724032,18.27581294297,0.22540377654646598,0.11298761045136992,0.2717781052658081,0.19395435649449153
vegetarian,"Includes dairy and eggs, no meat ",50-59,female,0.111,1203000,4.370471444328,6.310075911588999,16380.318605412998,17.16368537065,0.2011234803238162,0.09973344497205235,0.262813861972764,0.16567657769661215
vegetarian,"Includes dairy and eggs, no meat ",50-59,male,0.115,426000,4.455095310198001,6.522067628169999,16333.40931528,17.61907143639,0.20968798055203933,0.10908693830626902,0.2584940261649342,0.17725556085928032
vegetarian,"Includes dairy and eggs, no meat ",60-69,female,0.115,536000,4.472485087662,6.476280588034999,16815.591083498002,17.44472615454,0.21144794213649315,0.10706672364126536,0.302897726632905,0.17282252868085526
vegetarian,"Includes dairy and eggs, no meat ",60-69,male,0.115,229000,4.44484358452,6.628730014408,16725.207749553,17.54301248117,0.20865043746645404,0.11379309350317543,0.2945744038689137,0.17532162956862601
vegetarian,"Includes dairy and eggs, no meat ",70-79,female,0.116,289000,4.4734452564780005,6.632652876176,17181.322996656,17.47861677613,0.2115451176313636,0.11396617791416006,0.3365776610349525,0.173684256709633
vegetarian,"Includes dairy and eggs, no meat ",70-79,male,0.124,158000,4.612451445292001,6.84265292261,17972.881278657,18.28381331859,0.22561347203212825,0.12323179482686189,0.4094715760969234,0.19415777996650416
